Date,Open,High,Low,Close,Adj Close,Volume
2016-09-08,169.350006,171.880005,168.710007,171.660004,160.365036,3031600
2016-09-09,170.830002,172.419998,168.509995,168.570007,157.478317,3411800
2016-09-12,167.009995,171.669998,166.229996,171.059998,159.804474,2647900
2016-09-13,168.539993,169.970001,166.380005,167.000000,156.011581,2788200
2016-09-14,167.000000,167.860001,165.589996,166.160004,155.226883,1995900
2016-09-15,165.779999,168.759995,165.759995,168.080002,157.020538,1645200
2016-09-16,167.850006,168.050003,165.610001,166.000000,155.077393,4534900
2016-09-19,167.339996,168.309998,165.679993,166.210007,155.273590,2030700
2016-09-20,167.679993,168.279999,166.389999,166.470001,155.516479,1532900
2016-09-21,167.419998,168.279999,165.929993,167.029999,156.039688,2333600
2016-09-22,168.449997,169.330002,167.699997,168.020004,156.964508,2467700
2016-09-23,167.750000,168.100006,165.050003,165.130005,154.264664,3421200
2016-09-26,163.830002,163.970001,161.000000,161.479996,150.854828,2772200
2016-09-27,160.720001,163.449997,159.820007,162.889999,152.172028,2602700
2016-09-28,163.339996,163.789993,161.679993,163.449997,152.695160,1678100
2016-09-29,163.380005,163.960007,157.770004,158.949997,148.491287,3733800
2016-09-30,159.949997,162.410004,157.800003,161.270004,150.658630,4497200
2016-10-03,160.500000,161.720001,160.250000,161.070007,150.471832,2444700
2016-10-04,161.240005,164.149994,161.229996,162.270004,151.592850,2469900
2016-10-05,163.320007,166.570007,163.009995,166.399994,155.451080,2548200
2016-10-06,167.179993,167.289993,164.820007,167.149994,156.151749,2858000
2016-10-07,167.500000,169.979996,166.240005,169.830002,158.655426,3390200
2016-10-10,170.520004,171.750000,170.100006,171.039993,159.785751,2532000
2016-10-11,169.839996,170.869995,167.910004,169.039993,157.917389,2680000
2016-10-12,169.039993,169.990005,168.300003,169.300003,158.160263,2404000
2016-10-13,167.600006,167.630005,165.509995,167.419998,156.403992,2713700
2016-10-14,171.600006,172.949997,169.110001,170.520004,159.300003,5282300
2016-10-17,170.500000,171.270004,168.449997,169.000000,157.880020,3061400
2016-10-18,172.009995,173.470001,171.100006,172.630005,161.271164,4482500
2016-10-19,173.369995,175.679993,173.179993,174.509995,163.027466,3676000
2016-10-20,174.000000,175.789993,173.800003,174.509995,163.027466,2471100
2016-10-21,172.839996,174.899994,172.509995,174.669998,163.176926,2004400
2016-10-24,175.500000,175.789993,174.350006,175.119995,163.597305,1943200
2016-10-25,175.039993,175.960007,174.639999,175.550003,163.999008,2423300
2016-10-26,174.789993,177.899994,173.929993,177.070007,165.419022,2533800
2016-10-27,178.190002,178.850006,176.570007,177.750000,166.054260,3021900
2016-10-28,178.509995,178.509995,175.460007,177.139999,165.484390,2042800
2016-10-31,177.679993,178.500000,177.229996,178.240005,166.512039,1828200
2016-11-01,179.000000,179.179993,176.610001,178.059998,166.343872,2900600
2016-11-02,177.070007,177.500000,176.070007,176.580002,164.961227,2104800
2016-11-03,176.770004,177.970001,176.210007,176.210007,164.615601,1972700
2016-11-04,176.330002,177.339996,174.729996,175.919998,164.344696,1846500
2016-11-07,179.000000,181.500000,179.000000,181.479996,169.538849,3338800
2016-11-08,180.110001,182.679993,178.460007,181.919998,169.949860,2646200
2016-11-09,185.000000,193.539993,183.449997,192.630005,179.955200,7823800
2016-11-10,194.529999,204.669998,194.000000,200.869995,187.653000,11345400
2016-11-11,198.250000,205.000000,198.250000,203.940002,190.520981,6290200
2016-11-14,204.149994,211.770004,204.149994,209.179993,195.416199,8248100
2016-11-15,206.559998,211.199997,205.169998,211.190002,197.293991,4893800
2016-11-16,207.350006,208.080002,204.830002,206.259995,192.688324,5276200
2016-11-17,206.259995,209.690002,205.669998,209.630005,195.836594,3572400
2016-11-18,209.869995,212.070007,209.720001,210.350006,196.509216,4278200
2016-11-21,211.460007,211.690002,209.179993,211.080002,197.191238,2860200
2016-11-22,211.360001,211.949997,209.889999,211.110001,197.219208,2945700
2016-11-23,211.500000,213.410004,209.369995,212.309998,198.340286,3717400
2016-11-25,211.360001,212.750000,211.000000,211.380005,197.471451,1974000
2016-11-28,210.000000,211.759995,209.600006,210.350006,196.509216,3297400
2016-11-29,209.990005,212.919998,209.919998,211.750000,198.430267,2577600
2016-11-30,215.199997,220.770004,214.970001,219.289993,205.495987,6507900
2016-12-01,220.929993,227.160004,220.350006,226.630005,212.374268,7606500
2016-12-02,226.000000,226.250000,221.220001,223.360001,209.309952,5297400
2016-12-05,225.520004,229.199997,225.240005,228.550003,214.173508,4599300
2016-12-06,230.179993,232.669998,227.899994,231.380005,216.825516,5259300
